Gemeente,Gemiddelde verkoopprijs,Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,id
Wageningen,"312,9",289,Wageningen,25,Gelderland,140
Krimpenerwaard,"312,8",1931,Krimpenerwaard,28,Zuid-Holland,141
Bronckhorst,"312,7",1876,Bronckhorst,25,Gelderland,142
Mill en Sint Hubert,"312,4",815,Mill en Sint Hubert,30,Noord-Brabant,143
Delft,"311,3",503,Delft,28,Zuid-Holland,144
Wierden,"311,0",189,Wierden,23,Overijssel,145
Tynaarlo,"309,8",1730,Tynaarlo,22,Drenthe,146
Neder-Betuwe,"309,0",1740,Neder-Betuwe,25,Gelderland,147
Eindhoven,"308,8",772,Eindhoven,30,Noord-Brabant,148
West Maas en Waal,"308,4",668,West Maas en Waal,25,Gelderland,149
Olst-Wijhe,"307,8",1773,Olst-Wijhe,23,Overijssel,150
Oosterhout,"307,4",826,Oosterhout,30,Noord-Brabant,151
Loon op Zand,"306,8",809,Loon op Zand,30,Noord-Brabant,152
Zoeterwoude,"306,3",638,Zoeterwoude,28,Zuid-Holland,153
Gemert-Bakel,"305,3",1652,Gemert-Bakel,30,Noord-Brabant,154
Gilze en Rijen,"304,9",784,Gilze en Rijen,30,Noord-Brabant,155
Uden,"304,3",856,Uden,30,Noord-Brabant,156
Halderberge,"304,2",1655,Halderberge,30,Noord-Brabant,157
Vijfheerenlanden,"304,0",1961,Vijfheerenlanden,26,Utrecht,158
Dalfsen,"303,7",148,Dalfsen,23,Overijssel,159
Schouwen-Duiveland,"303,2",1676,Schouwen-Duiveland,29,Zeeland,160
Ede,"302,8",228,Ede,25,Gelderland,161
Zaltbommel,"302,7",297,Zaltbommel,25,Gelderland,162
Valkenswaard,"302,2",858,Valkenswaard,30,Noord-Brabant,163
Molenlanden,"302,0",1978,Molenlanden,28,Zuid-Holland,164
Etten-Leur,"300,6",777,Etten-Leur,30,Noord-Brabant,165
Meerssen,"300,2",938,Meerssen,31,Limburg,166
Krimpen aan den IJssel,"300,0",542,Krimpen aan den IJssel,28,Zuid-Holland,167
Culemborg,"299,6",216,Culemborg,25,Gelderland,168
Beuningen,"299,3",209,Beuningen,25,Gelderland,169
Geldrop-Mierlo,"298,9",1771,Geldrop-Mierlo,30,Noord-Brabant,170
Deurne,"298,0",762,Deurne,30,Noord-Brabant,171
Hoeksche Waard,"297,3",1963,Hoeksche Waard,28,Zuid-Holland,172
Hattem,"296,5",244,Hattem,25,Gelderland,173
Purmerend,"295,7",439,Purmerend,27,Noord-Holland,174
Brielle,"295,5",501,Brielle,28,Zuid-Holland,175
Almere,"294,3",34,Almere,24,Flevoland,176
Nijmegen,"293,8",268,Nijmegen,25,Gelderland,177
Boxmeer,"293,7",756,Boxmeer,30,Noord-Brabant,178
Zwolle,"293,1",193,Zwolle,23,Overijssel,179
Berg en Dal,"292,8",1945,Berg en Dal,25,Gelderland,180
Zaanstad,"292,8",479,Zaanstad,27,Noord-Holland,181
Noordenveld,"292,8",1699,Noordenveld,22,Drenthe,182
Medemblik,"292,1",420,Medemblik,27,Noord-Holland,183
Altena,"291,4",1959,Altena,30,Noord-Brabant,184
De Wolden,"290,8",1690,De Wolden,22,Drenthe,185
Elburg,"290,6",230,Elburg,25,Gelderland,186
Lingewaard,"290,2",1705,Lingewaard,25,Gelderland,187
Rucphen,"290,1",840,Rucphen,30,Noord-Brabant,188
Dongen,"289,7",766,Dongen,30,Noord-Brabant,189
Drimmelen,"289,6",1719,Drimmelen,30,Noord-Brabant,190
Waalwijk,"289,6",867,Waalwijk,30,Noord-Brabant,191
Zoetermeer,"289,0",637,Zoetermeer,28,Zuid-Holland,192
Opmeer,"288,9",432,Opmeer,27,Noord-Holland,193
Rijssen-Holten,"287,3",1742,Rijssen-Holten,23,Overijssel,194
Apeldoorn,"287,2",200,Apeldoorn,25,Gelderland,195
Alkmaar,"286,9",361,Alkmaar,27,Noord-Holland,196
Helmond,"286,8",794,Helmond,30,Noord-Brabant,197
Veenendaal,"286,7",345,Veenendaal,26,Utrecht,198
Alphen aan den Rijn,"286,5",484,Alphen aan den Rijn,28,Zuid-Holland,199
Raalte,"285,8",177,Raalte,23,Overijssel,200
Druten,"285,1",225,Druten,25,Gelderland,201
Aa en Hunze,"284,8",1680,Aa en Hunze,22,Drenthe,202
Oldebroek,"284,3",269,Oldebroek,25,Gelderland,203
Nederweert,"283,7",946,Nederweert,31,Limburg,204
Cranendonck,"283,7",1706,Cranendonck,30,Noord-Brabant,205
Wijchen,"283,7",296,Wijchen,25,Gelderland,206
Maastricht,"283,5",935,Maastricht,31,Limburg,207
Heerhugowaard,"283,1",398,Heerhugowaard,27,Noord-Holland,208
Rotterdam,"282,9",599,Rotterdam,28,Zuid-Holland,209
Rheden,"282,8",275,Rheden,25,Gelderland,210
Woensdrecht,"282,4",873,Woensdrecht,30,Noord-Brabant,211
Cuijk,"282,0",1684,Cuijk,30,Noord-Brabant,212
Rijswijk (ZH),"280,8",603,Rijswijk,28,Zuid-Holland,213
Peel en Maas,"279,7",1894,Peel en Maas,31,Limburg,214
Westerveld,"279,5",1701,Westerveld,22,Drenthe,215
Schagen,"279,4",441,Schagen,27,Noord-Holland,216
Dinkelland,"279,2",1774,Dinkelland,23,Overijssel,217
Nieuwegein,"278,3",356,Nieuwegein,26,Utrecht,218
Koggenland,"277,5",1598,Koggenland,27,Noord-Holland,219
Montferland,"277,4",1955,Montferland,25,Gelderland,220
Ommen,"277,2",175,Ommen,23,Overijssel,221
Valkenburg a/d Geul,"275,7",994,Valkenburg aan de Geul,31,Limburg,222
Zeewolde,"275,7",50,Zeewolde,24,Flevoland,223
Weert,"275,5",988,Weert,31,Limburg,224
Hof van Twente,"274,7",1735,Hof van Twente,23,Overijssel,225
Voerendaal,"274,7",986,Voerendaal,31,Limburg,226
Goeree-Overflakkee,"274,6",1924,Goeree-Overflakkee,28,Zuid-Holland,227
Oldenzaal,"274,5",173,Oldenzaal,23,Overijssel,228
Hoorn,"273,5",405,Hoorn,27,Noord-Holland,229
Moerdijk,"272,9",1709,Moerdijk,30,Noord-Brabant,230
Waddinxveen,"272,0",627,Waddinxveen,28,Zuid-Holland,231
Haaksbergen,"271,8",158,Haaksbergen,23,Overijssel,232
Stede Broec,"270,9",532,Stede Broec,27,Noord-Holland,233
Hellendoorn,"270,8",163,Hellendoorn,23,Overijssel,234
Borne,"270,5",147,Borne,23,Overijssel,235
Gennep,"270,2",907,Gennep,31,Limburg,236
Horst aan de Maas,"270,2",1507,Horst aan de Maas,31,Limburg,237
Grave,"269,8",786,Grave,30,Noord-Brabant,238
De Fryske Marren,"268,8",1940,De Fryske Marren,21,Friesland,239
Hellevoetsluis,"268,8",530,Hellevoetsluis,28,Zuid-Holland,240
Goes,"268,7",664,Goes,29,Zeeland,241
Alblasserdam,"268,4",482,Alblasserdam,28,Zuid-Holland,242
Duiven,"267,4",226,Duiven,25,Gelderland,243
Hardinxveld-Giessendam,"267,4",523,Hardinxveld-Giessendam,28,Zuid-Holland,244
Zutphen,"266,6",301,Zutphen,25,Gelderland,245
Gulpen-Wittem,"266,6",1729,Gulpen-Wittem,31,Limburg,246
Gorinchem,"266,0",512,Gorinchem,28,Zuid-Holland,247
Berkelland,"265,9",1859,Berkelland,25,Gelderland,248
Capelle aan den IJssel,"265,4",502,Capelle aan den IJssel,28,Zuid-Holland,249
Tilburg,"265,3",855,Tilburg,30,Noord-Brabant,250
Staphorst,"265,3",180,Staphorst,23,Overijssel,251
Oss,"264,8",828,Oss,30,Noord-Brabant,252
Deventer,"264,2",150,Deventer,23,Overijssel,253
Midden-Drenthe,"261,2",1731,Midden-Drenthe,22,Drenthe,254
Tiel,"260,8",281,Tiel,25,Gelderland,255
